10.786 PHY<<== 004,  14 : ~
11.312 PHY<<== 015, K 13  00 01 00 00 00 , 00 00 00 ' u ~
11.319 PHY==>> 064, K 13  00 01 00 00 00 , 00 00 00 00 00 00 00 01 00 00 00 ff A 00 00 02 00 00 00 80 = d5 12 80 = d5 12 80 = d5 12 r r c _ f e a t u r e _ d o _ n o t _ f o r w a
11.319 PHY==>> 016, r d _ p a g e . c o n f 00 e0 = ~
11.320 PHY<<== 015, K 13  00 01 00 00 00 - 00 00 00 9c i ~
11.327 PHY==>> 064, K 13  00 01 00 00 00 - 00 00 00 00 00 00 00 01 00 00 00 ff A 00 00 02 00 00 00 80 = d5 12 80 = d5 12 80 = d5 12 r r c _ f e a t u r e _ f r e q _ l o c k . c o
11.327 PHY==>> 006, n f 00 8d ce ~
11.328 PHY<<== 015, K 13  00 01 00 00 00 . 00 00 00 Q L ~
11.335 PHY==>> 064, K 13  00 01 00 00 00 . 00 00 00 00 00 00 00 01 00 00 00 ff A 00 00 02 00 00 00 80 = d5 12 80 = d5 12 80 = d5 12 r r c _ f e a t u r e _ s k i p _ s i b 1 1 _ o
11.336 PHY==>> 011, p t . c o n f 00 d9 1a ~
11.336 PHY<<== 015, K 13  00 01 00 00 00 / 00 00 00 ea P ~
11.343 PHY==>> 064, K 13  00 01 00 00 00 / 00 00 00 00 00 00 00 01 00 00 00 ff A 00 00 02 00 00 00 80 = d5 12 80 = d5 12 80 = d5 12 r r c _ f e a t u r e _ s n o w 3 g . c o n f 00
11.343 PHY==>> 003, 9d J ~
11.344 PHY<<== 015, K 13  00 01 00 00 00 0 00 00 00 b2 ! ~
11.351 PHY==>> 064, K 13  00 01 00 00 00 0 00 00 00 00 00 00 00 01 00 00 00 ff A 00 00 02 00 00 00 80 = d5 12 80 = d5 12 80 = d5 12 r r c _ f e a t u r e _ s r b 2 _ a c t . c o n
11.351 PHY==>> 005, f 00 5 88 ~
11.352 PHY<<== 015, K 13  00 01 00 00 00 1 00 00 00 	 = ~
11.359 PHY==>> 059, K 13  00 01 00 00 00 1 00 00 00 00 00 00 00 00 00 00 00 ff 81 00 00 e3 02 00 00 80 = d5 12 80 = d5 12 80 = d5 12 t d s c d m a _ l 1 . c o n f 00 B 8f ~
11.360 PHY<<== 015, K 13  00 01 00 00 00 2 00 00 00 c4 18 ~
11.367 PHY==>> 060, K 13  00 01 00 00 00 2 00 00 00 00 00 00 00 00 00 00 00 ff 81 00 00 8a 06 00 00 80 = d5 12 80 = d5 12 80 = d5 12 t d s c d m a _ r r c . c o n f 00 S & ~
11.368 PHY<<== 015, K 13  00 01 00 00 00 3 00 00 00 7f 04 ~
11.375 PHY==>> 055, K 13  00 01 00 00 00 3 00 00 00 00 00 00 00 00 00 00 00 ff 81 00 00 1a 01 00 00 80 = d5 12 80 = d5 12 80 = d5 12 u i m d r v . c o n f 00 h z ~
11.376 PHY<<== 015, K 13  00 01 00 00 00 4 00 00 00 ^ S ~
11.387 PHY==>> 060, K 13  00 01 00 00 00 4 00 00 00 00 00 00 00 0f 00 00 00 ff e1 00 00 ) 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 w _ i d l e _ m o d e . c o n f 00 82 ! ~
11.388 PHY<<== 015, K 13  00 01 00 00 00 5 00 00 00 e5 O ~
11.395 PHY==>> 064, K 13  00 01 00 00 00 5 00 00 00 00 00 00 00 00 00 00 00 ff 81 00 00 j 01 00 00 80 = d5 12 80 = d5 12 80 = d5 12 w c d m a _ r r c _ e x t e r n a l . c o n f 00
11.395 PHY==>> 003, b0 bc ~
11.396 PHY<<== 015, K 13  00 01 00 00 00 6 00 00 00 ( j ~
11.403 PHY==>> 064, K 13  00 01 00 00 00 6 00 00 00 00 00 00 00 0f 00 00 00 ff e1 00 00 @ 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 w c d m a _ r r c _ f a s t _ r e t u r n _ t o
11.404 PHY==>> 024, _ l t e _ a f t e r _ c s f b . c o n f 00 ` 0f ~
11.404 PHY<<== 015, K 13  00 01 00 00 00 7 00 00 00 93 v ~
11.411 PHY==>> 064, K 13  00 01 00 00 00 7 00 00 00 00 00 00 00 0f 00 00 00 ff e1 00 00 F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 w c d m a _ r r c _ f a s t _ r e t u r n _ t o
11.411 PHY==>> 030, _ l t e _ a f t e r _ c s f b _ t i m e r . c o n f 00 g R ~
11.412 PHY<<== 015, K 13  00 01 00 00 00 8 00 00 00 j c4 ~
11.419 PHY==>> 056, K 13  00 01 00 00 00 8 00 00 00 00 00 00 00 00 00 00 00 ff 81 00 00 83 00 00 00 80 = d5 12 80 = d5 12 80 = d5 12 w l 1 _ c m e . c o n f 00 a2 T ~
11.420 PHY<<== 015, K 13  00 01 00 00 00 9 00 00 00 d1 d8 ~
11.427 PHY==>> 064, K 13  00 01 00 00 00 9 00 00 00 00 00 00 00 0f 00 00 00 ff e1 00 00 ) 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 w l 1 _ d c _ w 2 l _ m o d e . c o n f 00 82 ae ~
11.427 PHY<<== 015, K 13  00 01 00 00 00 : 00 00 00 1c fd ~
11.435 PHY==>> 058, K 13  00 01 00 00 00 : 00 00 00 00 00 00 00 00 00 00 00 ff 81 00 00 % 00 00 00 80 = d5 12 80 = d5 12 80 = d5 12 w l 1 _ d l _ n v . c o n f 00 dd 10 ~
11.436 PHY<<== 015, K 13  00 01 00 00 00 ; 00 00 00 a7 e1 ~
11.443 PHY==>> 061, K 13  00 01 00 00 00 ; 00 00 00 00 00 00 00 0f 00 00 00 ff e1 00 00 ) 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 w l 1 _ d s r _ m o d e . c o n f 00 cf S ~
11.444 PHY<<== 015, K 13  00 01 00 00 00 < 00 00 00 86 b6 ~
11.451 PHY==>> 056, K 13  00 01 00 00 00 < 00 00 00 00 00 00 00 00 00 00 00 ff 81 00 00 ) 00 00 00 80 = d5 12 80 = d5 12 80 = d5 12 w l 1 _ f e t . c o n f 00 ba J ~
11.451 PHY<<== 015, K 13  00 01 00 00 00 = 00 00 00 = aa ~
11.459 PHY==>> 056, K 13  00 01 00 00 00 = 00 00 00 00 00 00 00 00 00 00 00 ff 81 00 00 bd 03 00 00 80 = d5 12 80 = d5 12 80 = d5 12 w l 1 _ r x d . c o n f 00 b8 c2 ~
11.460 PHY<<== 015, K 13  00 01 00 00 00 > 00 00 00 f0 8f ~
11.467 PHY==>> 058, K 13  00 01 00 00 00 > 00 00 00 00 00 00 00 0f 00 00 00 ff e1 00 00 ( 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 w l 1 _ u l _ c m . c o n f 00 89 cc ~
11.468 PHY<<== 015, K 13  00 01 00 00 00 ? 00 00 00 K 93 ~
11.479 PHY==>> 052, K 13  00 01 00 00 00 ? 00 00 00 00 00 00 00 00 00 00 00 ff 81 00 00 bf 00 00 00 80 = d5 12 80 = d5 12 80 = d5 12 w m s . c o n f 00 e8 98 ~
11.480 PHY<<== 015, K 13  00 01 00 00 00 @ 00 00 00 f7 { ~
11.487 PHY==>> 044, K 13  00 01 00 00 00 @ 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 o 07 ~
11.489 PHY<<== 011, K 13  00 01 00 00 00 - u ~
11.495 PHY==>> 011, K 13  00 00 00 00 00 96 i ~
11.495 PHY<<== 032, K 13  00 n v / i t e m _ f i l e s / c o n f / r r c _ d e v i c
11.496 PHY<<== 018, e _ t y p e _ n v . c o n f 00 a3 15 ~
11.503 PHY==>> 015, K 13  00 01 00 00 00 00 00 00 00 b5 a9 ~
11.503 PHY<<== 015, K 13  00 01 00 00 00 01 00 00 00 fb q ~
11.507 PHY==>> 044, K 13  00 01 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 dc de ~
11.508 PHY<<== 011, K 13  00 01 00 00 00 - u ~
11.511 PHY==>> 011, K 13  00 00 00 00 00 96 i ~
11.511 PHY<<== 032, K 13  00 n v / i t e m _ f i l e s / c o n f / r r c _ f e a t u
11.512 PHY<<== 020, r e _ c e l l _ b a r . c o n f 00 06 L ~
11.519 PHY==>> 015, K 13  00 01 00 00 00 00 00 00 00 b5 a9 ~
11.519 PHY<<== 015, K 13  00 01 00 00 00 01 00 00 00 fb q ~
11.523 PHY==>> 044, K 13  00 01 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 dc de ~
11.523 PHY<<== 011, K 13  00 01 00 00 00 - u ~
11.527 PHY==>> 011, K 13  00 00 00 00 00 96 i ~
11.527 PHY<<== 032, K 13  00 n v / i t e m _ f i l e s / c o n f / r r c _ f e a t u
